47.540373	-122.636249
47.252877	-122.444291
46.146779	-122.908445
48.179628	-117.043258
46.981206	-123.602663
48.534266	-123.017124
48.421216	-122.334047
46.339327	-117.048212
46.323753	-117.972437
46.663155	-123.804606
48.118146	-123.430741
47.317639	-119.553649
45.638728	-122.661486
46.064581	-118.343021
48.361262	-119.583387
47.658780	-117.426047
47.606210	-122.332071
46.203166	-123.383183
46.880165	-117.364350
48.648218	-118.737807
48.117039	-122.760447
48.759553	-122.488225
46.474874	-117.602690
45.820679	-120.821731
46.662048	-122.964018
47.423460	-120.310349
47.127372	-118.379975
47.037874	-122.900695
48.219821	-122.686280
46.602071	-120.505899
45.695672	-121.884524
47.215095	-123.100707
46.996514	-120.547847
47.647076	-120.071179
47.978985	-122.202079
46.239579	-119.100566
47.654046	-118.149973
46.206800	-119.768922
48.544997	-117.900954
